X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,SE_ANNO_CAD_DATA,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SHAPE
-77.0276558809687,38.9535014677506,21129138,5200 block of Georgia Ave NW,2021/09/09 04:00:00+00,1952,2021/09/09 04:00:00+00,2021,9,4D,Ward 4,Race,Black,Threats,806943,397603.02,142843.92,38.95349367,-77.02765359,,{DF20E270-40C6-4A54-8EB8-A4A96E936977},,,MPD,2024/02/16 21:02:52+00,3157,
-77.0194208401286,38.898318803941,21130377,500 block of G St NW,2021/09/11 04:00:00+00,2352,2021/09/12 04:00:00+00,2021,9,1D,Ward 2,Race,Black,Threats,803614,398315.52,136717.99,38.89831102,-77.01941855,,{FA8B1069-6E9A-4772-B0D3-B9172D6FD2FB},,,MPD,2024/02/16 21:02:52+00,3158,
-77.054024975767,38.9052648108482,21131010,2500 block of M St NW,2021/09/13 04:00:00+00,0700,2021/09/13 04:00:00+00,2021,9,2D,Ward 2,Race,White,Simple Assault,801191,395314.21,137490.26,38.90525702,-77.05402268,,{05BA2D3C-6440-4819-A2E4-2F4D3EB58354},,,MPD,2024/02/16 21:02:52+00,3159,
-77.0494629371556,38.9052729570886,21131236,2200 block of M St NW,2021/09/13 04:00:00+00,1513,2021/09/13 04:00:00+00,2021,9,2D,Ward 2,Race,White,Simple Assault,809168,395709.91,137490.94,38.90526517,-77.04946064,,{DC11C4FC-2B16-4D13-B373-721BE680A7B8},,,MPD,2024/02/16 21:02:52+00,3160,
-77.0710389095279,38.9196743674304,21132627,2200 block of Wisconsin Ave NW,2021/09/15 04:00:00+00,2100,2021/09/15 04:00:00+00,2021,9,2D,Ward 3,Race,White,Simple Assault,806639,393839.71,139090.85,38.91966658,-77.0710366,,{0B666C4D-3F38-49B9-9F03-26E5D41E2644},,,MPD,2024/02/16 21:02:52+00,3161,
-76.970921557459,38.9210427824585,21133443,2200 block of 25th Pl NE,2021/09/17 04:00:00+00,1215,2021/09/17 04:00:00+00,2021,9,5D,Ward 5,Race,Black,Damage/Defacing/Destruction of Property,808192,402521.83,139240.76,38.92103499,-76.97091928,,{0BD0CD8E-FDAB-40C3-923A-416C3589EE73},,,MPD,2024/02/16 21:02:52+00,3162,
-76.970921557459,38.9210427824585,21133387,2200 block of 25th Pl NE,2021/09/17 04:00:00+00,0854,2021/09/17 04:00:00+00,2021,9,5D,Ward 5,Race,White,ADW,808192,402521.83,139240.76,38.92103499,-76.97091928,,{4DB10D5A-FC93-4774-A8D1-3ADCA6F9573D},,,MPD,2024/02/16 21:02:52+00,3163,
-77.0031771998385,38.9037388129587,21133959,200 block of L St NE,2021/09/18 04:00:00+00,0933,2021/09/18 04:00:00+00,2021,9,5D,Ward 6,Gender Identity/Expression,,ADW,809549,399724.61,137319.48,38.90373102,-77.00317492,,{E1F3E084-2757-4C5D-A67C-89C6497AA8FB},,,MPD,2024/02/16 21:02:52+00,3164,
-76.9844383747722,38.8434644162849,21134812,3300 block of 14th Pl SE,2021/09/19 04:00:00+00,1840,2021/09/19 04:00:00+00,2021,9,7D,Ward 8,Sexual Orientation,,Simple Assault,804266,401351.14297521,130628.68111065,38.84345664,-76.9844361,,{DC3C82E5-5214-43CA-8C7C-05C4B3F30D27},,,MPD,2024/02/16 21:02:52+00,3165,
-77.0820668863789,38.9535926816049,21138472,4900 block of Wisconsin Ave NW,2021/09/26 04:00:00+00,0257,2021/09/26 04:00:00+00,2021,9,2D,Ward 3,Ethnicity/National Origin,Middle Eastern,Simple Assault,803031,392886.75,142856.88,38.95358489,-77.08206457,,{F9406E11-1868-4B5F-A507-479C8F825C4D},,,MPD,2024/02/16 21:02:52+00,3166,
-76.9846224083086,38.8593266642806,21140392,2200 block of Hunter Pl SE,2021/09/29 04:00:00+00,1255,2021/09/29 04:00:00+00,2021,9,7D,Ward 8,Ethnicity/National Origin,Middle Eastern,Simple Assault,808580,401334.87,132389.5,38.85931888,-76.98462013,,{0F67B468-7FCF-4BB5-BCC8-C664C049268C},,,MPD,2024/02/16 21:02:52+00,3167,
-76.9979062078073,38.9242465878383,21142442,600 block of Edgewood St NE,2021/10/02 04:00:00+00,1650,2021/10/02 04:00:00+00,2021,10,5D,Ward 5,Gender Identity/Expression,,Simple Assault,804594,400181.76,139596.01,38.92423879,-76.99790392,,{8A12D5E2-5700-4629-B100-6DDB99E5D2AE},,,MPD,2024/02/16 21:02:52+00,3168,
-77.0319533971768,38.9175628337259,21153055,2000 block of 14th St NW,2021/10/20 04:00:00+00,1852,2021/10/20 04:00:00+00,2021,10,3D,Ward 1,Race,White,Threats,804064,397229.12,138854.54,38.91755504,-77.0319511,,{267549BC-2F4D-4373-807C-103931A6EEDB},,,MPD,2024/02/16 21:02:52+00,3169,
-77.0758712171437,38.9305910375278,21999999,3800 block of Massachusetts Ave NW,2021/10/21 04:00:00+00,1800,2021/10/21 04:00:00+00,2021,10,2D,Ward 3,Ethnicity/National Origin,Jewish,Displaying Symbols,805174,393421.66,140303.03,38.93058325,-77.07586891,,{10487A47-6465-4F1D-BC0A-483FED7E658C},,,MPD,2024/02/16 21:02:52+00,3170,
-77.0074763742539,38.9056501893115,21153811,Unit block of M St NE,2021/10/21 04:00:00+00,2306,2021/10/22 04:00:00+00,2021,10,5D,Ward 6,Race,Black,Simple Assault,813086,399351.72,137531.68,38.9056424,-77.00747409,,{A4E8503E-DAC5-47F7-9FF2-C0D86C7A5FAB},,,MPD,2024/02/16 21:02:52+00,3171,
-76.9647821551552,38.9345459090944,21154854,3100 block of Rhode Island Ave NE,2021/10/23 04:00:00+00,1938,2021/10/23 04:00:00+00,2021,10,5D,Ward 5,Gender Identity/Expression,,ADW,806865,403053.65,140739.91,38.93453811,-76.96477988,,{6C7C41BC-500E-4589-9F42-D0D9FCB1F5EA},,,MPD,2024/02/16 21:02:52+00,3172,
-77.0083902161693,38.8972117280431,21155190,Unit block of Massachusetts Ave NE,2021/10/24 04:00:00+00,0938,2021/10/24 04:00:00+00,2021,10,1D,Ward 6,Gender Identity/Expression,,Simple Assault,800876,399272.37,136594.95,38.89720394,-77.00838793,,{4826CB5B-3A59-4571-8562-BFE6DFE75F45},,,MPD,2024/02/16 21:02:52+00,3173,
-77.0396694444698,38.9031516222377,21159236,1000 block of Connecticut Ave NW,2021/10/31 04:00:00+00,1923,2021/10/31 04:00:00+00,2021,10,2D,Ward 2,Ethnicity/National Origin,Iranian,Damage/Defacing/Destruction of Property,804979,396559.27,137255.04,38.90314383,-77.03966715,,{A76BCFEE-6FAE-4AC7-9E38-C5587324FFFC},,,MPD,2024/02/16 21:02:52+00,3174,
